No.,x (Matriks A),y (Matriks B),x-y,(x-y)²
1,0.0000,0.0000,0.0000,0.0000
2,0.0000,0.0000,0.0000,0.0000
3,0.0000,0.0000,0.0000,0.0000
4,0.0000,0.0000,0.0000,0.0000
5,0.0000,0.0000,0.0000,0.0000
6,0.0000,0.0000,0.0000,0.0000
7,0.0000,0.0000,0.0000,0.0000
8,0.0000,0.0000,0.0000,0.0000
9,0.0000,0.0003,-0.0003,0.0000
10,0.0000,0.0000,0.0000,0.0000
11,0.0000,0.0000,0.0000,0.0000
12,0.0000,0.0000,0.0000,0.0000
13,0.0000,0.0000,0.0000,0.0000
14,0.0000,0.0000,0.0000,0.0000
15,0.0000,0.0000,0.0000,0.0000
16,0.0000,0.0000,0.0000,0.0000
17,0.0000,0.0000,0.0000,0.0000
18,0.0000,0.0000,0.0000,0.0000
19,0.0000,0.0000,0.0000,0.0000
20,0.0000,0.0000,0.0000,0.0000
21,0.0000,0.0000,0.0000,0.0000
22,0.0000,0.0000,0.0000,0.0000
23,0.0000,0.0006,-0.0006,0.0000
24,0.0000,0.0011,-0.0011,0.0000
25,0.0011,0.0045,-0.0034,0.0000
26,0.0161,0.0088,0.0073,0.0001
27,0.0385,0.0355,0.0029,0.0000
28,0.0719,0.0716,0.0002,0.0000
29,0.0348,0.0239,0.0109,0.0001
30,0.0291,0.0245,0.0047,0.0000
31,0.0317,0.0296,0.0021,0.0000
32,0.0289,0.0262,0.0027,0.0000
33,0.0209,0.0219,-0.0010,0.0000
34,0.0156,0.0242,-0.0086,0.0001
35,0.0175,0.0173,0.0002,0.0000
36,0.0184,0.0287,-0.0103,0.0001
37,0.0323,0.0253,0.0070,0.0000
38,0.0348,0.0418,-0.0070,0.0000
39,0.0439,0.0557,-0.0119,0.0001
40,0.0574,0.0543,0.0031,0.0000
41,0.0475,0.0606,-0.0130,0.0002
42,0.0501,0.0603,-0.0102,0.0001
43,0.0560,0.0495,0.0066,0.0000
44,0.0560,0.0583,-0.0023,0.0000
45,0.0538,0.0489,0.0049,0.0000
46,0.0501,0.0591,-0.0091,0.0001
47,0.0470,0.0603,-0.0133,0.0002
48,0.0498,0.0520,-0.0022,0.0000
49,0.0444,0.0449,-0.0005,0.0000
50,0.0433,0.0364,0.0069,0.0000
51,0.0405,0.0370,0.0035,0.0000
52,0.0357,0.0324,0.0032,0.0000
53,0.0345,0.0398,-0.0053,0.0000
54,0.0379,0.0375,0.0004,0.0000
55,0.0337,0.0338,-0.0002,0.0000
56,0.0416,0.0370,0.0046,0.0000
57,0.0274,0.0372,-0.0098,0.0001
58,0.0351,0.0313,0.0038,0.0000
59,0.0365,0.0461,-0.0096,0.0001
60,0.0422,0.0549,-0.0127,0.0002
61,0.0456,0.0540,-0.0085,0.0001
62,0.0427,0.0469,-0.0042,0.0000
63,0.0540,0.0486,0.0054,0.0000
64,0.0501,0.0486,0.0015,0.0000
65,0.0555,0.0566,-0.0011,0.0000
66,0.0540,0.0500,0.0040,0.0000
67,0.0580,0.0597,-0.0017,0.0000
68,0.0512,0.0540,-0.0028,0.0000
69,0.0637,0.0680,-0.0043,0.0000
70,0.0753,0.0799,-0.0046,0.0000
71,0.0792,0.0884,-0.0092,0.0001
72,0.0900,0.0873,0.0027,0.0000
73,0.1005,0.1129,-0.0124,0.0002
74,0.1138,0.1103,0.0034,0.0000
75,0.1129,0.1245,-0.0116,0.0001
76,0.1098,0.0989,0.0108,0.0001
77,0.0928,0.0975,-0.0047,0.0000
78,0.0962,0.1055,-0.0093,0.0001
79,0.0973,0.0992,-0.0019,0.0000
80,0.1152,0.1242,-0.0091,0.0001
81,0.1106,0.1200,-0.0093,0.0001
82,0.1050,0.1089,-0.0039,0.0000
83,0.1109,0.1052,0.0057,0.0000
84,0.1095,0.1132,-0.0037,0.0000
85,0.1070,0.0952,0.0117,0.0001
86,0.1038,0.0987,0.0052,0.0000
87,0.0857,0.0864,-0.0007,0.0000
88,0.0829,0.0859,-0.0030,0.0000
89,0.0880,0.0776,0.0104,0.0001
90,0.0877,0.0864,0.0013,0.0000
91,0.0886,0.0796,0.0090,0.0001
92,0.0840,0.0833,0.0007,0.0000
93,0.1007,0.0916,0.0092,0.0001
94,0.0948,0.1026,-0.0078,0.0001
95,0.1064,0.1214,-0.0150,0.0002
96,0.0911,0.1129,-0.0218,0.0005
97,0.0710,0.0913,-0.0202,0.0004
98,0.0789,0.0879,-0.0089,0.0001
99,0.0699,0.0716,-0.0018,0.0000
100,0.0611,0.0648,-0.0037,0.0000
101,0.0702,0.0665,0.0036,0.0000
102,0.0651,0.0682,-0.0032,0.0000
103,0.0688,0.0731,-0.0043,0.0000
104,0.0750,0.0716,0.0033,0.0000
105,0.0804,0.0665,0.0138,0.0002
106,0.0835,0.0608,0.0226,0.0005
107,0.0860,0.0711,0.0149,0.0002
108,0.0750,0.0762,-0.0012,0.0000
109,0.0773,0.0734,0.0039,0.0000
110,0.0922,0.0759,0.0163,0.0003
111,0.0979,0.0955,0.0024,0.0000
112,0.0891,0.0992,-0.0101,0.0001
113,0.0792,0.0927,-0.0135,0.0002
114,0.0818,0.0825,-0.0007,0.0000
115,0.0855,0.0793,0.0061,0.0000
116,0.0903,0.0773,0.0129,0.0002
117,0.0815,0.0759,0.0056,0.0000
118,0.0863,0.0751,0.0112,0.0001
119,0.0719,0.0674,0.0045,0.0000
120,0.0764,0.0626,0.0139,0.0002
121,0.0778,0.0736,0.0042,0.0000
122,0.0753,0.0688,0.0065,0.0000
123,0.0699,0.0614,0.0085,0.0001
124,0.0679,0.0665,0.0014,0.0000
125,0.0863,0.0671,0.0192,0.0004
126,0.0948,0.1024,-0.0076,0.0001
127,0.1177,0.1473,-0.0296,0.0009
128,0.1123,0.1106,0.0017,0.0000
129,0.1188,0.1066,0.0122,0.0001
130,0.1225,0.1194,0.0031,0.0000
131,0.1265,0.1228,0.0037,0.0000
132,0.1138,0.1305,-0.0167,0.0003
133,0.1092,0.1134,-0.0042,0.0000
134,0.0982,0.1063,-0.0081,0.0001
135,0.0894,0.0952,-0.0058,0.0000
136,0.0937,0.1006,-0.0070,0.0000
137,0.1030,0.0978,0.0052,0.0000
138,0.0905,0.0950,-0.0044,0.0000
139,0.0852,0.0847,0.0004,0.0000
140,0.0939,0.0756,0.0183,0.0003
141,0.1050,0.0748,0.0302,0.0009
142,0.0965,0.0916,0.0049,0.0000
143,0.0523,0.0586,-0.0062,0.0000
144,0.0300,0.0341,-0.0041,0.0000
145,0.0204,0.0299,-0.0095,0.0001
146,0.0249,0.0281,-0.0032,0.0000
147,0.0209,0.0219,-0.0010,0.0000
148,0.0161,0.0216,-0.0055,0.0000
149,0.0175,0.0222,-0.0046,0.0000
150,0.0153,0.0233,-0.0080,0.0001
151,0.0167,0.0148,0.0019,0.0000
152,0.0173,0.0125,0.0048,0.0000
153,0.0105,0.0111,-0.0006,0.0000
154,0.0144,0.0100,0.0045,0.0000
155,0.0141,0.0108,0.0033,0.0000
156,0.0108,0.0117,-0.0009,0.0000
157,0.0139,0.0105,0.0033,0.0000
158,0.0130,0.0094,0.0036,0.0000
159,0.0116,0.0091,0.0025,0.0000
160,0.0076,0.0100,-0.0023,0.0000
161,0.0068,0.0077,-0.0009,0.0000
162,0.0068,0.0065,0.0003,0.0000
163,0.0057,0.0088,-0.0032,0.0000
164,0.0045,0.0051,-0.0006,0.0000
165,0.0059,0.0040,0.0020,0.0000
166,0.0042,0.0065,-0.0023,0.0000
167,0.0045,0.0043,0.0003,0.0000
168,0.0020,0.0040,-0.0020,0.0000
169,0.0025,0.0040,-0.0014,0.0000
170,0.0040,0.0045,-0.0006,0.0000
171,0.0025,0.0051,-0.0026,0.0000
172,0.0028,0.0051,-0.0023,0.0000
173,0.0031,0.0040,-0.0009,0.0000
174,0.0020,0.0051,-0.0031,0.0000
175,0.0037,0.0028,0.0008,0.0000
176,0.0020,0.0034,-0.0014,0.0000
177,0.0037,0.0028,0.0008,0.0000
178,0.0040,0.0051,-0.0012,0.0000
179,0.0028,0.0037,-0.0009,0.0000
180,0.0028,0.0037,-0.0009,0.0000
181,0.0034,0.0026,0.0008,0.0000
182,0.0025,0.0045,-0.0020,0.0000
183,0.0042,0.0023,0.0020,0.0000
